Ancien nom,Nouveau nom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salle IMBL,Salle  McWhinnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salle des 3BB,Germaine BENOIT / 406-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salle des 4BB,Barbara McCLINTOCK / 406-00-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salle master,Rachel Louise CARSON / 406-RDJ-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24
"Salle Mary Alice McWhinnie 
(salle IMBL) S1",,,,,,,,,,,,,,,,,,,,,,Salle CM1 (salle IMBL) S2,,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13/sep/21 - 17/sep/21,20/sep/21-24/sep/21,27/sep/21-01/oct/21,04/oct/21-08/oct/21,11/oct/21-15/oct/21,18/oct/21-22/oct/21,25/oct/21-29/oct/21,01/nov/21-05/nov/21,08/nov/21-12/nov/21,15/nov/21-19/nov/21,22/nov/21-26/nov/21,29/nov/21-03/dec/21,06/dec/21-10/dec/21,13/dec/21-17/dec/21,20/dec/21-24/dec/21,27/dec/21-31/jan/22,03/jan/22-07/jan/22,10/jan/22-14/jan/22,17/jan/22-21/jan/22,24/jan/22-28/jan/22,,,31/01/22-04/02/22,07/02/22-11/02/22,14/02/22-18/02/22,21/02/22-25/02/22,28/02/22-04/03/22,07/03/22-11/03/22,14/03/22-18/03/22,21/03/22-25/03/22,28/03/22-01/04/22,04/04/22-08/04/22,11/04/22-15/04/22,18/04/22-22/04/22,25/04/22-29/04/22,02/05/22-06/05/22,09/05/22-13/05/22,16/05/22-20/05/22,23/05/22-27/05/22,30/05/22-03/06/22,06/06/22-10/06/22,13/06/22-17/06/22
lundi,8h00 à 9h50,Proteomique CM 5BIM,Proteomique CM 5BIM,Proteomique CM 5BIM,Proteomique CM 5BIM,Proteomique CM 5BIM,,,,MAP / Biomérieux,"Projets
Biotech.
Indus. 4BB",,,,,,,,,,,lundi,8h00 à 9h50,,Projet 4BIM CM ,Projet 4BIM CM,,Projet 4BIM CM,Projet 4BIM CM,Projet 4BIM CM,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10h05 à 11h55,,,,,,,,,,,,,,,,,,,,,,10h05 à 11h55,,RMN  CM 4BiM,RMN  CM 4BiM,,RMN  CM 4BiM,RMN  CM 4BiM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lundi,14h00 à 15h50,,,,,,,,,,,,,,,,,,,,,lundi,14h00 à 15h50,,Proc stoch CM 4BiM,Proc stoch CM 4BiM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16h05 à 17h55,,,,,,,,,,,,,,,,,,,,,,16h05 à 17h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mardi,8h00 à 9h50,Souten. Stage 4BB,,,,,Oraux 5BB,,,Proc pharm 4h,,Paul Banse  projet 5bim reprod,,,Bio Gen exam ABCD,,,Microbio exam,Stats exam ,,Bio cell exam 3BS AB,mardi,8h00 à 9h50,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10h05 à 11h55,,Projet 5BIM,,,,Bioing. Prot. CM 5BB,,Bioch Sig & Enzymo 4BB,,,,,,Bioch exam ABCD,,,,,,Physio exam 3BS CD,,10h05 à 11h55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mardi,14h00 à 15h50,Souten. Stage 4BB,Chimie Phy CM 3BS AB,Chimie Phy CM 3BS AB,Chimie Phy CM 3BS AB,Chimie Phy CM 3BS AB,Chimie Phy CM 3BS AB,,Chimie Phy CM 3BS AB,Chimie Phy CM 3BS AB,Chimie Phy CM 3BS AB,Chimie Phy CM 3BS AB,Chimie Phy CM 3BS AB,Chimie Phy CM 3BS AB,Chimie Phy CM 3BS AB,,,Chimie Physique CM grp AB,,Chimie orga exam ABCD,,mardi,14h00 à 15h50,Pharma CM 4 BIM,Pharma CM 4 BIM,Pharma CM 4 BIM,,Proc stoch CM 4BiM,Proc stoch CM 4BiM,Proc stoch CM 4BiM,Proc stoch CM 4BiM,,,,,,,,,,,,3A NGS BiM BB examen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
